id,storage_size, write_bandwidth, read_bandwidth,annual_failure_rate
0, 14000000, 208, 202, 0.97
1, 16000000, 209, 220, 0.80
2, 16000000, 168, 170, 0.31
3, 12000000, 193, 204, 1.80
4, 12000000, 190, 189, 0.64
5, 8000000, 164, 170, 1.84
6, 12000000, 110, 112, 0.90
7, 4000000, 112, 133, 2.60
8, 12000000, 197, 204, 1.18
9, 14000000, 281, 406, 1.35
10, 14000000, 125, 116, 24.29
11, 14000000, 223, 226, 14.64
12, 8000000, 183, 181, 5.66
13, 8000000, 160, 160, 5.38
14, 18000000, 214, 221, 3.58
15, 10000000, 184, 194, 2.42
16, 12000000, 175, 171, 2.31
17, 12000000, 166, 171, 2.11
18, 4000000, 100, 97, 0.52
19, 4000000, 107, 104, 0.41
20, 8000000, 160, 160, 1.06
21, 12000000, 193, 188, 0.43
22 6000000, 135, 157, 0.87
23, 8000000, 117, 108, 1.46
24, 4000000, 119, 126, 1.07
25, 14000000, 198, 199, 1.50
26, 16000000, 183, 179, 1.23
27, 16000000, 118, 164, 0.88
28, 14000000, 188, 190, 0.32
29, 16000000, 218, 227, 0.22
30, 22000000, 200, 191, 0.58
