algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,10,104857600.0,104857600,104857600,10,56001.35745200001,4466.133121,19376.967775,5.8282750000000005,6597.010770999999,446.6133121,0.5828275,1937.6967775,659.7010770999999,111.11111640930176,1111.1111640930176,"[111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176]"
alg2,10,104857600.0,104857600,104857600,10,52133.181039,4297.662861,14963.226902000002,1475.630512,17346.488688999998,429.7662861,147.5630512,1496.3226902000001,1734.6488688999998,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg3,10,104857600.0,104857600,104857600,10,51489.08187,4227.993632,14778.574884000001,1766.8191729999999,17125.004591,422.79936319999996,176.68191729999998,1477.8574884000002,1712.5004591000002,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg4,10,104857600.0,104857600,104857600,10,50832.791744999995,4270.39005,14634.732584000001,2104.590535,15667.062666000002,427.039005,210.45905349999998,1463.4732584,1566.7062666000002,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
random,10,104857600.0,104857600,104857600,10,63062.50525999999,4374.746878999999,20226.123700999997,4.934925,23871.978116000002,437.47468789999994,0.4934925,2022.6123700999997,2387.1978116,176.333337020874,1763.3333702087402,"[261.66667079925537, 286.66667079925537]"
hdfs,10,104857600.0,104857600,104857600,10,65260.163689,4976.618194999999,0.08571000000000001,9.859760000000001,43392.857686999996,497.6618194999999,0.9859760000000002,0.008571,4339.2857687,300.0,3000.0012588500977,"[1000.0004196166992, 1000.0004196166992, 1000.0004196166992]"
alg2_reduced_complexity,10,104857600.0,104857600,104857600,10,52647.11178,4431.451698,15806.497103999998,377.268572,16914.900444,443.14516979999996,37.7268572,1580.6497103999998,1691.4900444,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg3_reduced_complexity,10,104857600.0,104857600,104857600,10,52954.640121000004,4351.132814,15046.567923999999,1906.157819,17070.033551,435.11328139999995,190.6157819,1504.6567923999999,1707.0033551000001,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg4_reduced_complexity,10,104857600.0,104857600,104857600,10,55876.934312,4702.12521,15894.518887000002,2745.667042,15660.990181,470.21252100000004,274.5667042,1589.4518887000002,1566.0990181,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
hdfsrs_3_2,10,104857600.0,104857600,104857600,10,51363.348150000005,4570.303263,1255.31327,4.222572,29397.204444,457.03032629999996,0.42225720000000005,125.531327,2939.7204444,166.6666660308838,1666.6674995422363,"[833.3337497711182, 833.3337497711182]"
hdfsrs_6_3,10,104857600.0,104857600,104857600,10,38504.257677999994,4608.410819000001,1200.8418649999999,5.514850999999999,16232.013193000003,460.84108190000006,0.5514851,120.08418649999999,1623.2013193000003,150.0,1500.0012588500977,"[500.0004196166992, 500.0004196166992, 500.0004196166992]"
hdfsrs_10_4,10,104857600.0,104857600,104857600,10,34468.772037999996,4470.381286,964.417541,4.886553,13819.096590999998,447.0381286,0.4886553,96.4417541,1381.9096590999998,140.0,1400.0016784667969,"[350.0004196166992, 350.0004196166992, 350.0004196166992, 350.0004196166992]"
vandermonders_3_2,10,104857600.0,104857600,104857600,10,514168.114556,4471.907813000001,466970.23601999995,5.159300999999999,26702.063234,447.1907813000001,0.5159301,46697.023601999994,2670.2063234,166.6666660308838,1666.6674995422363,"[833.3337497711182, 833.3337497711182]"
vandermonders_6_3,10,104857600.0,104857600,104857600,10,500891.483789,4668.248061,463228.194958,4.806223,17466.108191,466.82480610000005,0.4806223,46322.819495799995,1746.6108190999998,150.0,1500.0012588500977,"[500.0004196166992, 500.0004196166992, 500.0004196166992]"
vandermonders_10_4,10,104857600.0,104857600,104857600,10,507280.1356919999,4622.1526140000005,472377.45063300006,4.527221,14495.513390999999,462.21526140000003,0.4527221,47237.745063300004,1449.5513391,140.0,1400.0016784667969,"[350.0004196166992, 350.0004196166992, 350.0004196166992, 350.0004196166992]"
glusterfs_6_4,10,104857600.0,104857600,104857600,10,59378.044870000005,4330.086423000001,20168.40174,4.491091,10507.419013,433.0086423000001,0.4491091,2016.8401740000002,1050.7419013,150.0000057220459,1500.000057220459,"[250.00000953674316, 250.00000953674316, 250.00000953674316, 250.00000953674316, 250.00000953674316, 250.00000953674316]"
